in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6
0.175149358,0.886090049,0.405493145,0.920344287,0.610884459,0.819958567,0.610884459,0.803426912,0.647537079,0.757236334,0.765614373,0.467478819
0.484999648,0.391624117,0.468475375,0.041981483,0.158656406,0.357416809,0.158656406,0.160880603,0.319412763,0.297788688,0.100318944,0.426387621
0.123828867,0.081548663,0.484445043,0.213559781,0.908569828,0.908480727,0.908569828,0.180298476,0.13595007,0.908507458,0.561064805,0.56926109
0.867048362,0.91906102,0.886186513,0.43395663,0.738324423,0.699118639,0.738324423,0.571686049,0.755325273,0.710880374,0.586140527,0.852693517
0.74054294,0.710853944,0.099449166,0.525507866,0.290096936,0.44657084,0.290096936,0.585565038,0.665641269,0.399628669,0.407802401,0.15322611
0.245137546,0.614165161,0.736063659,0.029197223,0.315755347,0.162727012,0.315755347,0.149333462,0.309515114,0.208635513,0.172476285,0.636699163
0.986488474,0.782781737,0.5193043,0.371944763,0.427241568,0.741699365,0.427241568,0.525751866,0.730828003,0.647362026,0.399593166,0.532337533
0.535963803,0.268146555,0.62011018,0.353300393,0.476327766,0.899205305,0.476327766,0.367926829,0.387428744,0.772342043,0.41481408,0.633641451
0.392955711,0.066062959,0.606459688,0.926226386,0.691467465,0.894465104,0.691467465,0.717211271,0.43852445,0.833565812,0.808846926,0.643761008
0.879251929,0.52612143,0.703555348,0.841296382,0.881590905,0.794991895,0.881590905,0.799713471,0.74426959,0.820971598,0.861443643,0.730502559
0.650317384,0.184786752,0.699035979,0.784745554,0.24671384,0.047924307,0.24671384,0.674587508,0.527710114,0.107561167,0.515729697,0.588692598
0.553020165,0.53863829,0.271201084,0.922635687,0.77730482,0.339229449,0.77730482,0.809593749,0.658871165,0.470652061,0.849970254,0.328614294
0.597948862,0.830849028,0.996417498,0.15007186,0.611881713,0.834775673,0.611881713,0.319369985,0.54510082,0.767907485,0.380976786,0.941799737
0.623639417,0.129001795,0.098364263,0.63748904,0.474050418,0.090933912,0.474050418,0.55913851,0.454671136,0.205868864,0.555769729,0.135189843
0.861678363,0.079459777,0.918283198,0.454496466,0.318639877,0.25118311,0.318639877,0.459318247,0.465747289,0.27142014,0.386568172,0.791608857
0.654570091,0.989734649,0.598444556,0.083147457,0.690712271,0.081477147,0.690712271,0.304848931,0.600450896,0.264247684,0.386929864,0.555974587
0.894009114,0.576302162,0.739774087,0.932112079,0.394789499,0.033179059,0.394789499,0.873025147,0.79424257,0.141662191,0.663450789,0.634616125
0.148684748,0.491212622,0.680043134,0.383800271,0.330763315,0.689585712,0.330763315,0.364644795,0.339104161,0.581938993,0.357281793,0.64606941
0.861033206,0.03300061,0.80344331,0.317077542,0.461152604,0.551057867,0.461152604,0.356059352,0.408035098,0.524086288,0.389115073,0.743975695
0.337961048,0.212697911,0.077066514,0.86683644,0.975598133,0.310111211,0.975598133,0.689384352,0.452781568,0.509757287,0.921217286,0.190224146
0.937008386,0.840102037,0.105205146,0.062488562,0.801525759,0.104839585,0.801525759,0.310308557,0.640735217,0.313845438,0.432007161,0.174800652
0.056162569,0.926785181,0.992066592,0.245781967,0.322596023,0.268600985,0.322596023,0.31948954,0.417766303,0.284799496,0.284188995,0.852772975
0.883379097,0.186497778,0.308910192,0.477908491,0.16427451,0.841860532,0.16427451,0.495017475,0.517829453,0.638584726,0.3210915,0.347741658
0.697689799,0.340259722,0.946814581,0.037387649,0.971199419,0.473254124,0.971199419,0.181863782,0.374498627,0.622637713,0.504293534,0.901897019
0.319037412,0.962507869,0.742288849,0.918112117,0.852237867,0.214014697,0.852237867,0.834910274,0.723974483,0.405481648,0.885174992,0.700456336
0.05881144,0.47361382,0.389929537,0.331199011,0.951358997,0.409453935,0.951358997,0.311703096,0.285708544,0.572025453,0.641279004,0.448024923
0.581413818,0.825293287,0.753595731,0.35882444,0.414163233,0.788536627,0.414163233,0.462183173,0.599994819,0.676224609,0.386493836,0.723146571
0.268240707,0.186119442,0.538452594,0.352840153,0.894320365,0.827218278,0.894320365,0.315142129,0.264878098,0.847348904,0.623580259,0.60291594
0.932980063,0.253124373,0.800151216,0.107459206,0.577614697,0.877857717,0.577614697,0.253137109,0.447374314,0.787784811,0.342536951,0.785668214
0.5120259,0.831723786,0.037762997,0.782233688,0.914327755,0.332955615,0.914327755,0.749126035,0.704982497,0.507367257,0.848280721,0.154938734
0.030029889,0.007244234,0.79313981,0.663203055,0.311247401,0.252793263,0.311247401,0.469833257,0.21200686,0.270329504,0.487225228,0.690915915
0.802722891,0.211584011,0.429391307,0.558118128,0.466017919,0.018525871,0.466017919,0.542828725,0.522442854,0.152773486,0.512068024,0.391967425
0.001593847,0.187966802,0.59122799,0.083648,0.405053913,0.505688854,0.405053913,0.086987697,0.091440627,0.475498371,0.244350956,0.564056669
0.266708276,0.73337137,0.780010893,0.7631639,0.885636374,0.515635375,0.885636374,0.684226677,0.578977046,0.626635675,0.824400137,0.764135889
0.502323907,0.715220685,0.465251501,0.928516613,0.018258485,0.300837874,0.018258485,0.832593318,0.704695591,0.216064057,0.473387549,0.404110837
0.515363338,0.061043885,0.490174792,0.601949554,0.242011776,0.01138554,0.242011776,0.507825771,0.382327394,0.080573411,0.421980665,0.417479566
0.268558059,0.648199941,0.590589038,0.358935829,0.144974062,0.455845859,0.144974062,0.38876878,0.428546049,0.36258432,0.251954945,0.532553222
0.099842969,0.143269737,0.194367769,0.808836908,0.722311651,0.779558491,0.722311651,0.602652742,0.327740519,0.762384439,0.76557428,0.30568123
0.582582046,0.395248131,0.315788391,0.684383625,0.96373808,0.48875598,0.96373808,0.625743064,0.54755565,0.63125061,0.824060852,0.397880119
0.084888431,0.327875831,0.883944285,0.770765462,0.820443033,0.489181238,0.820443033,0.601450463,0.375697131,0.588559776,0.795604247,0.838117855
0.239251156,0.403524247,0.972325901,0.782861566,0.129238519,0.523492515,0.129238519,0.644419407,0.459829861,0.405216316,0.456050043,0.843133824
0.570687493,0.056393336,0.081937652,0.178968574,0.034481797,0.392881174,0.034481797,0.219340126,0.273168862,0.285361361,0.106725185,0.108286419
0.035784711,0.749459997,0.351816195,0.914833277,0.733017976,0.985685649,0.733017976,0.75817,0.549285631,0.909885347,0.823925627,0.453323318
0.34575907,0.935267865,0.437168264,0.004831787,0.048190635,0.025956242,0.048190635,0.195536291,0.449808963,0.03262656,0.026511211,0.357149299
0.144084065,0.652888649,0.750007955,0.23227438,0.018065065,0.407355088,0.018065065,0.282137973,0.348622764,0.290568081,0.125169722,0.642548379
0.783454835,0.370095933,0.329096492,0.67792638,0.448252416,0.791252514,0.448252416,0.647581081,0.607120683,0.688352485,0.563089398,0.387227686
0.073591715,0.399739387,0.083379966,0.751772992,0.430863483,0.753626541,0.430863483,0.59724076,0.391197783,0.656797624,0.591318238,0.185152975
0.717875283,0.989834156,0.650558268,0.366874557,0.142050626,0.541967666,0.142050626,0.512968606,0.707760671,0.421992554,0.254462592,0.588848444
0.682382865,0.630513342,0.193989612,0.138901259,0.579675219,0.712222232,0.579675219,0.294165312,0.50118405,0.672458128,0.359288239,0.284381435
0.482837352,0.474242069,0.735750996,0.410120541,0.525149696,0.022713196,0.525149696,0.430646291,0.458013959,0.173444146,0.467635118,0.643387086
0.435333008,0.057759101,0.884258539,0.585000767,0.799230134,0.035132533,0.799230134,0.483464353,0.348082468,0.264361813,0.692115451,0.790843098
0.106334157,0.397331782,0.517965124,0.939187678,0.57483326,0.21381568,0.57483326,0.732981265,0.458039382,0.322120954,0.757010469,0.493236994
0.858130514,0.189944608,0.902465619,0.221376233,0.754782283,0.233504411,0.754782283,0.312174632,0.433239163,0.389887773,0.488079258,0.820801164
0.102982895,0.682457118,0.244138986,0.530088094,0.998317144,0.022782866,0.998317144,0.488877668,0.433930433,0.315443149,0.764202619,0.29742119
0.614656708,0.251676073,0.68395726,0.030224424,0.542167571,0.415084841,0.542167571,0.151107014,0.312283801,0.45320966,0.286195997,0.642891049
0.850602366,0.897900019,0.070218801,0.116933381,0.597808665,0.237311839,0.597808665,0.344128724,0.647055849,0.345460887,0.357371023,0.139687091
0.646254684,0.714276653,0.313200005,0.653334489,0.790522312,0.433727798,0.790522312,0.661413843,0.672186315,0.540766152,0.7219284,0.372985015
0.598619779,0.88173033,0.447615416,0.657771695,0.618991261,0.89158161,0.618991261,0.682492703,0.715454047,0.809804505,0.638381478,0.50914962
0.563590246,0.972466668,0.129225856,0.182542379,0.399643577,0.278326856,0.399643577,0.358188203,0.592382634,0.314721872,0.291092978,0.171177728
0.570218081,0.726196681,0.58365819,0.340022309,0.564871233,0.024235479,0.564871233,0.432477831,0.55575186,0.186426205,0.452446771,0.525837224
0.588976269,0.482278142,0.395316468,0.011552424,0.53785698,0.229916432,0.53785698,0.168774859,0.378404771,0.322298596,0.274704702,0.393030516
0.532854372,0.927662047,0.813961005,0.832756654,0.914721388,0.814716041,0.914721388,0.802007121,0.761007743,0.844717645,0.873739021,0.824112547
0.935769761,0.833399892,0.421084138,0.722165974,0.80306685,0.002678684,0.80306685,0.77089163,0.835859171,0.242795134,0.762616412,0.417441863
0.40291498,0.046005334,0.102525551,0.43808369,0.514876542,0.427791011,0.514876542,0.37399663,0.288547217,0.453916671,0.476480116,0.176287196
0.649174668,0.697514252,0.243375658,0.115942119,0.565329433,0.531468475,0.565329433,0.283162821,0.506123758,0.541626762,0.340635776,0.304380317
0.680641623,0.121035682,0.342266384,0.524324685,0.287735148,0.660883669,0.287735148,0.487278875,0.437884462,0.548939113,0.406029916,0.368674989
0.90424787,0.974929682,0.19399473,0.088167905,0.450566717,0.882078639,0.450566717,0.343594166,0.684162514,0.752625062,0.269367311,0.288460319
0.371369372,0.34629814,0.405229548,0.764169284,0.99623486,0.979535175,0.99623486,0.642568625,0.480434414,0.98454508,0.880202072,0.521760641
0.079521301,0.156761123,0.968652193,0.239901625,0.038738684,0.530285427,0.038738684,0.203373501,0.154669336,0.382821404,0.139320155,0.831824166
0.27115289,0.918319313,0.461135697,0.238451366,0.459300484,0.102040239,0.459300484,0.345336786,0.487850681,0.209218313,0.348875925,0.42504263
0.258599723,0.518782083,0.47566676,0.498383011,0.482889959,0.133706947,0.482889959,0.465475378,0.421598535,0.23846185,0.490636485,0.442193099
0.021946978,0.616406727,0.807364942,0.7410527,0.843269581,0.873773872,0.843269581,0.614489946,0.445739607,0.864622584,0.79216114,0.817596299
0.685470594,0.91549703,0.422948703,0.031893705,0.081574298,0.833909422,0.081574298,0.262470737,0.56990678,0.608208885,0.056734002,0.429907334
0.94521806,0.897305407,0.882648868,0.547702289,0.752064128,0.232712199,0.752064128,0.659770122,0.8091939,0.388517778,0.649883208,0.804596727
0.691705463,0.836416691,0.773408658,0.062214749,0.611694833,0.094830678,0.611694833,0.272768647,0.553507179,0.249889924,0.336954791,0.689379478
0.472511966,0.931057575,0.882424956,0.7646653,0.407380848,0.475006772,0.407380848,0.745801141,0.720648929,0.454718995,0.586023074,0.794178727
0.777981694,0.417886508,0.689240543,0.33100621,0.749757293,0.011250958,0.749757293,0.411084578,0.517855734,0.232802859,0.540381752,0.62749326
0.787945333,0.86273553,0.811737807,0.093432736,0.580567085,0.884632372,0.580567085,0.313005045,0.605768123,0.793412786,0.33699991,0.795910191
0.207178887,0.992567721,0.731345149,0.609823816,0.664388881,0.058383744,0.664388881,0.606838662,0.602858458,0.240185285,0.637106348,0.657353382
0.53157484,0.449652007,0.253282866,0.291051927,0.747716426,0.484038963,0.747716426,0.350920376,0.430744974,0.563142202,0.519384177,0.325801832
0.897114017,0.742915566,0.959569234,0.460529056,0.577414474,0.404306308,0.577414474,0.568374777,0.712169071,0.456238758,0.518971765,0.865827465
0.327601607,0.36330814,0.591401538,0.815643726,0.355731133,0.026250867,0.355731133,0.67458707,0.486511529,0.125094947,0.58568743,0.511319431
0.624007215,0.823408403,0.333778135,0.971197518,0.993534456,0.168259604,0.993534456,0.896950606,0.797954722,0.41584206,0.982365987,0.383201914
0.684242661,0.561790991,0.419708263,0.932346932,0.944607912,0.183358995,0.944607912,0.8395479,0.715815858,0.41173367,0.938477422,0.448563301
0.656484256,0.486047493,0.124115087,0.257447231,0.811409104,0.261482934,0.811409104,0.351592824,0.477120281,0.426460785,0.534428167,0.206581273
0.751359928,0.310186308,0.788248412,0.389772209,0.195518002,0.148860689,0.195518002,0.432072482,0.488472845,0.162857883,0.292645105,0.665036599
0.823596442,0.91462054,0.713263185,0.952127962,0.577551734,0.618442191,0.577551734,0.927222121,0.894014332,0.606175054,0.764839848,0.690209941
0.192786226,0.026854752,0.799516242,0.190571664,0.484436313,0.52793446,0.484436313,0.166346312,0.134045841,0.514885016,0.337503989,0.740850071
0.606360053,0.938315961,0.547919871,0.732439697,0.377998051,0.857952885,0.377998051,0.74440919,0.760368514,0.713966435,0.555218874,0.56193099
0.583353773,0.635842467,0.376464672,0.030767265,0.711374881,0.560841758,0.711374881,0.204416521,0.435948863,0.606001694,0.371071073,0.428393401
0.564449899,0.247738436,0.199204752,0.609111671,0.958356488,0.859847921,0.958356488,0.54820642,0.466999419,0.889400491,0.78373408,0.341184243
0.438407341,0.25442592,0.91673238,0.228529334,0.348212689,0.544038114,0.348212689,0.263895523,0.311050442,0.485290486,0.288371012,0.822610985
0.632653518,0.895337344,0.754010319,0.816735543,0.942179853,0.539988593,0.942179853,0.800913509,0.779817464,0.660645971,0.879457698,0.7514251
0.127181141,0.256829368,0.842152921,0.423153208,0.872089675,0.81263145,0.872089675,0.353808822,0.261349641,0.830468918,0.647621442,0.84219445
0.864496106,0.343550337,0.052152434,0.599759239,0.698558548,0.519934023,0.698558548,0.601038434,0.602744027,0.573521381,0.649158894,0.163571205
0.836197217,0.742230473,0.938694269,0.142164287,0.758710119,0.180800176,0.758710119,0.336279155,0.595098978,0.354173158,0.450437203,0.844906444
0.94222118,0.287512571,0.090710674,0.538619495,0.236919967,0.159813233,0.236919967,0.561493709,0.591992661,0.182945253,0.387769731,0.112241859
0.296969412,0.648037666,0.221353412,0.409083015,0.02833025,0.846639435,0.02833025,0.428109172,0.453477382,0.60114668,0.218706633,0.264579698
0.657135502,0.51912331,0.37166449,0.336845786,0.037437617,0.558952814,0.037437617,0.412230872,0.51274432,0.402498255,0.187141702,0.356970635
0.762354577,0.738856365,0.763281325,0.639968287,0.550816659,0.203103338,0.550816659,0.673159443,0.717414316,0.307417334,0.595392473,0.68601706
0.464792716,0.161267634,0.104308848,0.184396186,0.019492296,0.965630291,0.019492296,0.222986382,0.274439978,0.681788893,0.101944241,0.181959337
0.344068561,0.161639913,0.819583396,0.943701203,0.152186275,0.371392672,0.152186275,0.736447113,0.460108327,0.305630753,0.547943739,0.708024611
0.211832901,0.685484948,0.378391459,0.589091993,0.945153833,0.752465618,0.945153833,0.546962073,0.490788845,0.810272082,0.767122913,0.472475112
0.340500489,0.605430712,0.300953689,0.870929919,0.631352341,0.79329853,0.631352341,0.751540623,0.592354896,0.744714673,0.75114113,0.383228038
0.925920639,0.036332621,0.826665369,0.946015173,0.708533917,0.987150251,0.708533917,0.806548611,0.620593193,0.903565351,0.827274545,0.830900712
0.41436708,0.31092286,0.479290196,0.332544635,0.530503109,0.455332256,0.530503109,0.341574736,0.35361487,0.477883512,0.431523872,0.482015693
0.860875478,0.528785374,0.514630657,0.827900793,0.204857546,0.589946765,0.204857546,0.787979683,0.734751536,0.47442,0.51637917,0.491184957
0.728933505,0.258328244,0.829636365,0.63793132,0.316477305,0.211600587,0.316477305,0.594641186,0.536921008,0.243063603,0.477204312,0.716516882
0.428901604,0.854680577,0.230410997,0.177641925,0.415433848,0.809862753,0.415433848,0.316886675,0.502546341,0.691534082,0.296537887,0.306858458
0.290428897,0.529612286,0.659845914,0.648823889,0.113870544,0.347225723,0.113870544,0.5771829,0.481661581,0.27721917,0.381347217,0.573986358
0.446074836,0.559084095,0.260005226,0.652582058,0.449176443,0.93929679,0.449176443,0.60758128,0.547580243,0.792260686,0.55087925,0.346851504
0.474705071,0.903867632,0.397715308,0.378831777,0.460817936,0.964524958,0.460817936,0.471968149,0.596149979,0.813412851,0.419824856,0.460706535
0.844561165,0.82146181,0.137786171,0.178336884,0.996118977,0.867503069,0.996118977,0.374739265,0.636609107,0.906087841,0.587227931,0.296591142
0.446259354,0.257607888,0.399023422,0.541723641,0.221983257,0.56898171,0.221983257,0.484786635,0.408870627,0.464882174,0.381853449,0.398315234
0.57742053,0.61884573,0.915153794,0.586417369,0.377100446,0.88304296,0.377100446,0.589932097,0.594618402,0.731260206,0.481758908,0.858137375
0.172487113,0.271630109,0.281151378,0.422039725,0.773389791,0.222856085,0.773389791,0.362045391,0.282052945,0.388016196,0.597714758,0.32454569
0.191311374,0.431228899,0.435513504,0.15728481,0.964342076,0.882454747,0.964342076,0.203480408,0.265074539,0.907020946,0.560813443,0.533090486
0.799249977,0.275153666,0.050063087,0.981218626,0.837263719,0.525711196,0.837263719,0.848013585,0.670406863,0.619176952,0.909241172,0.176347961
0.929833429,0.000869088,0.760524353,0.676538908,0.452507666,0.811940972,0.452507666,0.613182613,0.528707553,0.704110981,0.564523287,0.734864346
0.715329137,0.312272345,0.304106159,0.771939689,0.264373619,0.566658051,0.264373619,0.694498005,0.591242426,0.475972721,0.518156654,0.326388094
0.009703597,0.318595587,0.53471929,0.063530972,0.890058361,0.623925894,0.890058361,0.093716558,0.133964006,0.703765634,0.476794666,0.579173858
0.047229816,0.159327411,0.909788348,0.020107582,0.294187813,0.73798766,0.294187813,0.045058891,0.078327304,0.604847706,0.157147698,0.831048226
0.917769101,0.814858002,0.468067194,0.567931904,0.825811955,0.182801839,0.825811955,0.657446398,0.776799057,0.375704874,0.696871929,0.475315134
0.257360813,0.217572786,0.597133061,0.833154794,0.258467612,0.025471813,0.258467612,0.654448396,0.416173198,0.095370552,0.545811203,0.506100391
0.042968164,0.448862016,0.734191825,0.56748582,0.471898726,0.66970773,0.471898726,0.471014601,0.342386309,0.610365028,0.519692273,0.701514106
0.286431586,0.709244164,0.601709802,0.672165841,0.726578283,0.743600816,0.726578283,0.619867451,0.550136265,0.738494056,0.699372062,0.628385752
0.251157004,0.903809003,0.085908339,0.643584215,0.620460897,0.596205721,0.620460897,0.623753852,0.597313367,0.603482274,0.632022556,0.190393333
0.860277795,0.730445311,0.17354654,0.891542563,0.032558511,0.768512393,0.032558511,0.86268826,0.824215856,0.547726228,0.462050537,0.218944323
0.03286911,0.933260648,0.508783968,0.571493107,0.434396674,0.019240808,0.434396674,0.544964639,0.509593348,0.143787568,0.502944891,0.452390922
0.80287412,0.95054167,0.604764107,0.418343987,0.070006855,0.648947655,0.070006855,0.555853159,0.739198723,0.475265415,0.244175421,0.555706737
0.087050897,0.115977768,0.78331384,0.977490055,0.374204813,0.479960631,0.374204813,0.714697338,0.364307049,0.448233886,0.675847434,0.712067616
0.747918539,0.026041868,0.909716461,0.110170554,0.05408634,0.205682794,0.05408634,0.193213449,0.303937309,0.160203858,0.082128447,0.753750082
0.854257082,0.086501905,0.379552081,0.750472408,0.348319677,0.473015966,0.348319677,0.666444534,0.554407368,0.435607079,0.549396043,0.385775229
0.540067768,0.040319887,0.844981605,0.869361015,0.258309268,0.363829545,0.258309268,0.695610859,0.463943984,0.332173462,0.563835142,0.738199166
0.517447329,0.303728475,0.222502914,0.698318881,0.349870912,0.33027044,0.349870912,0.611999588,0.496907196,0.336150582,0.524094897,0.246016467
0.774437105,0.419070785,0.119418315,0.95503731,0.01631037,0.819058987,0.01631037,0.847552301,0.704238955,0.578234401,0.48567384,0.179071588
0.662602218,0.414912635,0.553417973,0.043371259,0.597422502,0.974335137,0.597422502,0.191987109,0.390141576,0.861261346,0.32039688,0.599910143
0.630370816,0.182174909,0.381094689,0.974972875,0.429347198,0.261484358,0.429347198,0.804362871,0.576882866,0.31184321,0.702160037,0.373958907
0.726725943,0.062108645,0.989168457,0.857327167,0.508041351,0.378328752,0.508041351,0.718454205,0.533290256,0.417242532,0.682684259,0.879971776
0.095980383,0.468596834,0.857373873,0.472469384,0.080657858,0.721771368,0.080657858,0.415415151,0.339342841,0.529437315,0.276563621,0.766142021
0.460875048,0.410235004,0.856873124,0.603239916,0.643293505,0.48497575,0.643293505,0.552934449,0.485860493,0.532471076,0.62326671,0.798325424
0.264921584,0.165638332,0.124314279,0.654219135,0.324605352,0.89373189,0.324605352,0.522537382,0.346961711,0.722993929,0.489412243,0.221285148
0.718665962,0.072909326,0.070525446,0.633898372,0.948918137,0.961598425,0.948918137,0.562465153,0.467220862,0.957794338,0.791408254,0.247472013
0.343898777,0.445617039,0.995207033,0.26437383,0.71811463,0.630686848,0.71811463,0.303489053,0.355642685,0.656915182,0.49124423,0.931045774
0.199415867,0.025533891,0.524798329,0.668827325,0.570522598,0.748660496,0.570522598,0.501921591,0.279380613,0.695219127,0.619674962,0.551756973
0.677812205,0.745850163,0.793638679,0.021893304,0.860753537,0.004440952,0.860753537,0.228874668,0.50484982,0.261334727,0.441323421,0.721430392
0.749380027,0.025011487,0.423951138,0.123244583,0.405053205,0.953077404,0.405053205,0.202429935,0.308010405,0.788670145,0.264148894,0.474973971
0.410461979,0.138286162,0.656058136,0.235286591,0.248481391,0.042320398,0.248481391,0.247012835,0.262647827,0.104168696,0.241883991,0.553926687
0.932341613,0.662457377,0.430798803,0.233815058,0.395676476,0.886088746,0.395676476,0.402890389,0.628324164,0.738965065,0.314745767,0.472815564
0.870185189,0.081914339,0.82870313,0.652719503,0.323062925,0.02599506,0.323062925,0.599718582,0.529050686,0.11511542,0.487891214,0.697868303
0.259620709,0.667474573,0.627548371,0.788073076,0.16129353,0.523068368,0.16129353,0.690715445,0.560905271,0.414535916,0.474683303,0.570474887
0.204339382,0.066484204,0.77323084,0.331289798,0.493424671,0.500700024,0.493424671,0.272526397,0.194175194,0.498517418,0.412357235,0.717997142
0.592238494,0.772112049,0.686270725,0.396457616,0.703571161,0.018280812,0.703571161,0.482172912,0.596459975,0.223867916,0.550014388,0.621201777
0.258138692,0.778447871,0.580379374,0.638428067,0.45478327,0.478629872,0.45478327,0.602387631,0.554333717,0.471475892,0.546605668,0.557644813
0.461172836,0.801087092,0.159644344,0.571334039,0.636103766,0.860339016,0.636103766,0.589272817,0.613191187,0.793068441,0.603718903,0.277359754
0.271815405,0.196452133,0.987589957,0.328627129,0.104755858,0.871218523,0.104755858,0.300279121,0.262481777,0.641279724,0.216691493,0.887669403
0.715708507,0.11663427,0.723960581,0.134128658,0.075710701,0.709659419,0.075710701,0.218741477,0.331558569,0.519474804,0.10491968,0.657705477
0.649437707,0.522576476,0.664195244,0.944799379,0.629263474,0.479314599,0.629263474,0.837161692,0.693644778,0.524299262,0.787031426,0.642214002
0.450541426,0.722616543,0.839378003,0.885826725,0.863644815,0.89902063,0.863644815,0.796052403,0.676353307,0.888407885,0.87473577,0.847768947
0.44571195,0.70874431,0.255253494,0.823652741,0.564994579,0.177090099,0.564994579,0.749725358,0.651155513,0.293461443,0.69432366,0.278411263
0.150073601,0.837214612,0.304643646,0.018317545,0.381148511,0.875762624,0.381148511,0.160915513,0.351046138,0.72737839,0.199733028,0.36940603
0.271305141,0.939280925,0.796286063,0.219357991,0.680669588,0.261887085,0.680669588,0.335138504,0.489512521,0.387521836,0.45001379,0.731284518
0.733020351,0.011839184,0.506052473,0.511438008,0.816796014,0.714926872,0.816796014,0.469735536,0.41413224,0.745487615,0.664117011,0.558014267
0.729183608,0.399494412,0.615866615,0.757080206,0.918843076,0.516715314,0.918843076,0.699257848,0.622161369,0.637353642,0.837961641,0.636249131
0.56394856,0.044925913,0.626939406,0.062302488,0.398511531,0.274266125,0.398511531,0.134942912,0.231796812,0.311539747,0.23040701,0.56882929
0.161440534,0.508032543,0.483573804,0.692423246,0.779910509,0.102837155,0.779910509,0.585117234,0.442042551,0.305959161,0.736166877,0.47513381
0.032137028,0.645105561,0.453093131,0.631050198,0.676278653,0.51397816,0.676278653,0.543321527,0.426349965,0.562668308,0.653664426,0.481500186
0.464552414,0.037175188,0.214268615,0.71119617,0.364782639,0.573134108,0.364782639,0.573096459,0.388963511,0.510628667,0.537989404,0.265206567
0.119812626,0.637964568,0.704518509,0.726464134,0.11419729,0.268843973,0.11419729,0.622191473,0.483161258,0.222449968,0.420330712,0.601918934
0.889527487,0.862346107,0.943359243,0.297142651,0.392890251,0.447722735,0.392890251,0.470780895,0.702298553,0.43127299,0.345016451,0.838748693
0.963164557,0.765792672,0.789383512,0.517937141,0.699364548,0.364076936,0.699364548,0.621899583,0.760516173,0.46466322,0.608650844,0.737850958
0.061864797,0.289037586,0.119135155,0.273803614,0.236322198,0.95795004,0.236322198,0.244297887,0.204956918,0.741461688,0.255062906,0.214735348
0.294445139,0.176439064,0.546820361,0.953117707,0.375194631,0.10759284,0.375194631,0.737815026,0.450744783,0.187873377,0.664156169,0.485735035
